City,State,Total Estimate,Married Households,Male Unmarried Household,Female Unmarried Household,Nonfamily Household
McKinney,Texas,73357,44928,1396,7540,19493
Pflugerville,Texas,23875,13545,742,2500,7088
Pharr,Texas,24797,11567,718,6896,5616
Lawton,Oklahoma,33921,13275,1816,5288,13542
Austin,Texas,449399,161423,14372,34720,238884
Cedar Park,Texas,30407,17240,479,2181,10507
"Centreville CDP, Virginia",,24957,14714,1625,2889,5729
Fort Worth,Texas,334286,155349,16768,47339,114830
Houston,Texas,924981,331597,58866,151876,382642
Mansfield,Texas,25327,14136,1797,4003,5391
"South Hill CDP, Washington",,22379,12791,1329,3746,4513
Plano,Texas,108472,61937,3757,10908,31870
Columbus,Ohio,390605,126256,19614,61126,183609
"Mount Pleasant town, South Carolina",,37983,20640,1003,2392,13948
Murfreesboro,Tennessee,58371,28916,1839,5986,21630
"Nashville-Davidson metropolitan government (balance), Tennessee",,305247,106188,14657,37955,146447
St. George,Utah,35656,22822,572,2084,10178
Chesapeake,Virginia,93849,50103,4956,14242,24548
Edinburg,Texas,37541,15564,1606,9201,11170
Auburn,Washington,31836,14892,1821,4141,10982
Frisco,Texas,72282,49740,2037,4229,16276
Kennewick,Washington,30679,13112,1109,5304,11154
Kent,Washington,46036,23378,2036,6631,13991
Spokane,Washington,94748,35511,5457,11173,42607
Spokane Valley,Washington,44047,18837,2956,4334,17920
Columbia,South Carolina,51455,15971,1302,7871,26311
Parma,Ohio,33401,13511,2941,4739,12210
Jackson,Tennessee,26505,8231,1122,5868,11284
Salt Lake City,Utah,89839,26758,5099,7137,50845
Sandy,Utah,33587,20491,1472,2432,9192
Bellevue,Washington,61440,33178,1356,4686,22220
Garland,Texas,77777,38849,6057,17402,15469
Kirkland,Washington,37746,20327,1188,2034,14197
Beaverton,Oregon,42858,16058,2026,5645,19129
Bend,Oregon,44620,20613,2353,5079,16575
Cranston,Rhode Island,33049,14235,1632,4665,12517
Wilmington,North Carolina,59341,22036,1341,3496,32468
Erie,Pennsylvania,38636,12627,1647,6191,18171
Johnson City,Tennessee,30806,12127,1290,2828,14561
Yonkers,New York,81397,31122,6198,14320,29757
Toledo,Ohio,120895,35024,5418,19982,60471
South Jordan,Utah,25502,17715,682,1992,5113
Bellingham,Washington,40653,14872,1405,2666,21710
El Paso,Texas,242529,108009,16959,49026,68535
Georgetown,Texas,30207,16945,919,2191,10152
Appleton,Wisconsin,29204,13335,1441,3133,11295
Irving,Texas,95309,45553,4636,11127,33993
Laredo,Texas,76095,36387,5183,18121,16404
Mesquite,Texas,52023,21844,3235,12466,14478
Tacoma,Washington,88819,37704,4743,10961,35411
Midland,Texas,52898,28860,3621,4343,16074
Santa Fe,New Mexico,40641,15063,2100,5125,18353
Winston-Salem,North Carolina,101551,38340,4775,15449,42987
Pawtucket,Rhode Island,29735,9085,1857,6218,12575
Providence,Rhode Island,68179,22771,4463,10518,30427
Abilene,Texas,48398,19407,2193,7662,19136
North Charleston,South Carolina,47324,16143,1804,9294,20083
Layton,Utah,27176,16507,1118,2413,7138
Lehi,Utah,22067,16666,632,1067,3702
"Dale City CDP, Virginia",,22465,13132,1324,3227,4782
Hampton,Virginia,58181,22599,3789,10688,21105
Madison,Wisconsin,123938,39917,3198,9429,71394
Mission,Texas,28128,14103,1525,5264,7236
Missouri City,Texas,29801,16241,1500,4114,7946
Richardson,Texas,45148,22935,1911,3987,16315
Warwick,Rhode Island,36595,15446,1427,4358,15364
Rochester,New York,93263,19179,4250,20562,49272
Knoxville,Tennessee,85151,24556,4106,10597,45892
League City,Texas,44419,28900,952,2938,11629
Leander,Texas,24031,16471,592,1953,5015
"Ponce zona urbana, Puerto Rico",,42404,13562,2215,9192,17435
Waukesha,Wisconsin,31139,13132,1416,3694,12897
Gresham,Oregon,43487,18741,3939,6666,14141
Dayton,Ohio,55114,12086,3360,12933,26735
Allentown,Pennsylvania,47204,15231,3594,8434,19945
Portland,Oregon,286734,105426,10633,22851,147824
Bethlehem,Pennsylvania,30099,9446,2137,5540,12976
Tulsa,Oklahoma,173943,62731,10029,23733,77450
Baytown,Texas,28264,13099,1149,5249,8767
Brownsville,Texas,56522,28771,4199,12446,11106
Alexandria,Virginia,72024,23796,1667,5806,40755
Grand Prairie,Texas,64208,32265,4523,10931,16489
Everett,Washington,45029,17436,2074,5019,20500
Philadelphia,Pennsylvania,660921,185642,34389,132467,308423
Newport News,Virginia,77489,26850,3211,12761,34667
Green Bay,Wisconsin,46857,17168,2554,5370,21765
Lewisville,Texas,46897,19553,2854,6946,17544
Vancouver,Washington,81814,32328,4339,10096,35051
Milwaukee,Wisconsin,232362,58247,16688,50756,106671
Round Rock,Texas,49740,24423,2998,7175,15144
Hillsboro,Oregon,40891,20694,2023,3157,15017
Franklin,Tennessee,33275,19988,736,2585,9966
Beaumont,Texas,46375,15186,2601,9095,19493
Bryan,Texas,32910,11397,1496,4468,15549
College Station,Texas,41586,15946,1592,3222,20826
Federal Way,Washington,35047,16209,2061,6437,10340
Pittsburgh,Pennsylvania,136747,37819,4444,17211,77273
Norfolk,Virginia,97596,32338,6038,14058,45162
"Guaynabo zona urbana, Puerto Rico",,26979,12035,1485,4151,9308
Pasco,Washington,25084,13572,1423,5311,4778
Suffolk,Virginia,37383,18713,2535,5973,10162
San Angelo,Texas,39065,16403,2240,4248,16174
San Antonio,Texas,549245,220989,36298,98174,193784
San Marcos,Texas,27015,6198,1351,3685,15781
Broken Arrow,Oklahoma,45138,24471,2877,4775,13015
Mount Vernon,New York,26465,10437,2145,6125,7758
Allen,Texas,37461,26121,1110,2906,7324
"Arlington CDP, Virginia",,108396,40178,2847,5547,59824
Conroe,Texas,37297,17596,2049,3058,14594
New Braunfels,Texas,37815,19497,2070,3152,13096
Canton,Ohio,31168,9358,2660,6278,12872
Salem,Oregon,64959,30730,2997,7882,23350
West Jordan,Utah,36309,23378,2234,4523,6174
West Valley City,Utah,42003,21896,3485,6503,10119
Harlingen,Texas,27051,11180,3133,4140,8598
Killeen,Texas,57875,23484,3100,11196,20095
Scranton,Pennsylvania,30096,12226,1250,4314,12306
"San Juan zona urbana, Puerto Rico",,129554,32793,6216,31871,58674
Yakima,Washington,37282,13987,2223,6345,14727
"Spring CDP, Texas",,23096,11871,2470,4304,4451
Norman,Oklahoma,53446,22484,2155,4866,23941
Chattanooga,Tennessee,77299,26478,5276,10406,35139
Amarillo,Texas,82129,36569,4312,9818,31430
Rapid City,South Dakota,32471,14108,1318,2562,14483
Corpus Christi,Texas,117366,52418,7446,19071,38431
Longview,Texas,31072,11982,1980,5607,11503
North Richland Hills,Texas,26937,13463,1122,3162,9190
Sugar Land,Texas,37008,26211,679,2092,8026
Temple,Texas,34371,14142,1503,4036,14690
"Toms River CDP, New Jersey",,35128,17842,2120,4149,11017
Trenton,New Jersey,34116,9607,2262,7274,14973
Lorain,Ohio,27852,8975,2115,4434,12328
New Rochelle,New York,32877,15204,1082,3204,13387
New York,New York,3263895,1143898,184937,563707,1371353
Oklahoma City,Oklahoma,275285,119448,13291,37691,104855
Clarksville,Tennessee,63787,31766,4115,10164,17742
"Bayamón zona urbana, Puerto Rico",,61688,21157,3557,15005,21969
Cheyenne,Wyoming,28727,12741,1184,2352,12450
Redmond,Washington,31181,17605,1139,1557,10880
Renton,Washington,41997,18038,2446,4937,16576
Virginia Beach,Virginia,182775,88104,10392,22789,61490
Odessa,Texas,48530,23832,1663,6522,16513
Oshkosh,Wisconsin,28532,10450,1566,2232,14284
"The Woodlands CDP, Texas",,43992,27994,1702,3936,10360
Tyler,Texas,36169,16894,1552,4669,13054
Union City,New Jersey,24041,7949,2185,5529,8378
Syracuse,New York,62663,15024,3202,11205,33232
Memphis,Tennessee,256968,69771,13834,58871,114492
Ogden,Utah,32631,14288,2506,3819,12018
Marysville,Washington,25906,14258,1502,2476,7670
Portsmouth,Virginia,40827,13314,2091,10006,15416
Victoria,Texas,25410,10466,2069,3960,8915
Waco,Texas,53286,18610,2497,7103,25076
Rio Rancho,New Mexico,40013,22523,2145,4399,10946
Edmond,Oklahoma,36530,22415,1594,2467,10054
Orem,Utah,32398,19563,1640,2441,8754
Dallas,Texas,536008,181508,31244,75253,248003
"Flower Mound town, Texas",,27696,20260,818,1575,5043
"Caguas zona urbana, Puerto Rico",,29970,6811,2655,8048,12456
Lynchburg,Virginia,28346,10774,1000,4487,12085
Eau Claire,Wisconsin,28218,12129,2563,2062,11464
Janesville,Wisconsin,28236,11955,1680,3877,10724
Pasadena,Texas,50598,24205,3827,8635,13931
Wichita Falls,Texas,38051,15619,2376,5073,14983
Cincinnati,Ohio,144929,32950,4173,24047,83759
Victorville,California,38400,17288,3526,9833,7753
Lincoln,Nebraska,120407,52380,4682,10756,52589
"Spring Hill CDP, Florida",,46360,23876,3240,6661,12583
Sunrise,Florida,35166,15226,2215,6902,10823
Tallahassee,Florida,84920,23166,4690,10525,46539
Tamarac,Florida,29065,12914,1485,3936,10730
Tampa,Florida,159925,58334,7525,19233,74833
Dothan,Alabama,30301,11998,1208,5818,11277
"Gilbert town, Arizona",,93472,58463,4349,8582,22078
Glendale,Arizona,90604,43398,5687,12651,28868
Daly City,California,32887,16078,2518,4175,10116
Davis,California,25316,9598,440,1777,13501
Downey,California,36008,17454,3278,6490,8786
Dublin,California,23688,16087,672,2085,4844
Springfield,Illinois,51317,16767,2619,6585,25346
Hammond,Indiana,30737,10808,2566,6111,11252
Jurupa Valley,California,27454,13848,3019,5172,5415
Lake Elsinore,California,21422,11956,1085,4041,4340
Lake Forest,California,30962,18073,1467,2862,8560
Shreveport,Louisiana,76167,24679,5000,15634,30854
Lowell,Massachusetts,42577,15209,3486,7368,16514
Pittsburg,California,23827,11314,3046,3986,5481
Lynn,Massachusetts,37304,13763,3472,7031,13038
San Marcos,California,34037,19094,939,4878,9126
San Mateo,California,39340,19247,1532,3755,14806
Lansing,Michigan,50590,13861,3022,7662,26045
Visalia,California,47660,22228,4139,7861,13432
Vista,California,30614,14312,2238,4280,9784
Novi,Michigan,28217,15761,1071,2657,8728
"The Villages CDP, Florida",,47527,29001,99,1024,17403
"Town 'n' Country CDP, Florida",,35155,14087,1750,7705,11613
Fort Collins,Colorado,70686,28945,1314,5402,35025
Buena Park,California,24306,13674,2018,4185,4429
Burbank,California,44471,18207,2957,3923,19384
Goodyear,Arizona,33130,22405,1337,3088,6300
Albany,Georgia,27357,6717,1183,6765,12692
Alpharetta,Georgia,25457,15296,471,2564,7126
"Athens-Clarke County unified government (balance), Georgia",,54438,18298,2138,4845,29157
Atlanta,Georgia,232720,59679,6976,27772,138293
Mobile,Alabama,77991,25936,2637,14782,34636
Montgomery,Alabama,81529,25255,4010,20039,32225
El Monte,California,29036,12708,3936,6930,5462
"Indianapolis city (balance), Indiana",,358150,133181,14551,53786,156632
Lafayette,Indiana,31585,11724,1349,3848,14664
Cedar Rapids,Iowa,59107,23000,3008,6589,26510
Lakewood,California,26533,15455,1335,3050,6693
Lancaster,California,51333,21300,3617,11575,14841
Bowling Green,Kentucky,28947,10212,1721,5029,11985
Manteca,California,27310,14910,2340,3729,6331
Malden,Massachusetts,26386,11044,1552,3068,10722
Pleasanton,California,29330,18144,1463,2454,7269
Pomona,California,40142,19506,3769,7684,9183
San Ramon,California,29662,19693,1532,2296,6141
Sparks,Nevada,43392,18550,4067,4808,15967
"Spring Valley CDP, Nevada",,88063,30607,5056,11931,40469
"Sunrise Manor CDP, Nevada",,62737,26213,5650,12599,18275
Walnut Creek,California,31035,15529,1193,1525,12788
"Wesley Chapel CDP, Florida",,23868,13045,919,4372,5532
Weston,Florida,20227,13783,874,3322,2248
West Palm Beach,Florida,50409,16451,3950,6822,23186
"Augusta-Richmond County consolidated government (balance), Georgia",,72760,22996,2681,16722,30361
"East Los Angeles CDP, California",,31072,13862,3913,6736,6561
Joliet,Illinois,51263,23860,3507,7642,16254
Davenport,Iowa,44958,16514,1903,5644,20897
Des Moines,Iowa,90416,33669,5485,10056,41206
Livermore,California,31472,18277,1731,2855,8609
Lodi,California,24245,12530,1243,2715,7757
Long Beach,California,172599,62335,11595,26074,72595
Santa Ana,California,78674,44766,6716,12582,14610
Santa Barbara,California,35676,13720,1263,3664,17029
Santa Clara,California,49011,24688,2277,3640,18406
Santa Clarita,California,73509,42155,4744,9014,17596
Stockton,California,97447,40148,11872,18847,26580
"Silver Spring CDP, Maryland",,33307,12353,1477,4587,14890
Maple Grove,Minnesota,28026,17283,870,949,8924
Stamford,Connecticut,52816,22802,2677,6705,20632
Fayetteville,Arkansas,40104,14451,2553,3891,19209
Camarillo,California,27588,14270,1087,2351,9880
Little Rock,Arkansas,89422,34012,3777,14994,36639
Waukegan,Illinois,30068,12692,2890,4736,9750
Santa Maria,California,30316,14493,2761,5059,8003
"Enterprise CDP, Nevada",,83983,38741,6733,11569,26940
Santa Monica,California,45541,13986,1129,3467,26959
Billings,Montana,50365,22672,3391,4113,20189
Gulfport,Mississippi,29385,9525,2008,5960,11892
Livonia,Michigan,38329,20833,1154,3219,13123
Gainesville,Florida,56513,14120,2132,4996,35265
Anaheim,California,105608,53178,8273,15078,29079
Buckeye,Arizona,30913,20801,712,2919,6481
Antioch,California,37081,19565,2101,6798,8617
"Apple Valley town, California",,24657,13364,1459,2794,7040
Grand Junction,Colorado,28352,11626,886,2846,12994
Greeley,Colorado,38381,18989,2424,5047,11921
Fort Smith,Arkansas,36390,15128,2352,5902,13008
Columbus,Georgia,82663,28931,5108,17623,31001
"Arlington Heights village, Illinois",,31415,18199,851,2331,10034
Aurora,Illinois,62379,31588,4865,10235,15691
Boise City,Idaho,99250,46063,4012,8786,40389
Noblesville,Indiana,25035,14223,1977,3652,5183
Los Angeles,California,1410594,527979,102884,196583,583148
Rancho Cordova,California,28428,13988,2493,2707,9240
Rancho Cucamonga,California,57290,30558,3933,8184,14615
New Bedford,Massachusetts,42743,13537,4046,6692,18468
Blaine,Minnesota,25869,14855,1095,2541,7378
Newton,Massachusetts,29961,19475,710,1831,7945
"Ellicott City CDP, Maryland",,27318,18421,1304,2473,5120
Bloomington,Minnesota,38725,16438,1596,4181,16510
Santa Rosa,California,68686,30813,3602,8844,25427
Sunnyvale,California,59567,31773,2908,4069,20817
West Covina,California,32012,17263,2753,6368,5628
Hialeah,Florida,75692,31699,6780,17564,19649
Boulder,Colorado,42376,14327,1854,2310,23885
Birmingham,Alabama,87570,18910,4355,19476,44829
"Arden-Arcade CDP, California",,40688,15015,3065,5465,17143
"Casas Adobes CDP, Arizona",,31869,14812,1438,3849,11770
Carlsbad,California,48098,24244,1622,4432,17800
Waterbury,Connecticut,45008,13903,3126,11594,16385
"Highlands Ranch CDP, Colorado",,38117,22817,2143,3037,10120
"Carmichael CDP, California",,32172,13860,1264,4716,12332
Carson,California,25743,12616,2868,4633,5626
Folsom,California,28441,16928,1176,1886,8451
Fontana,California,57836,32830,6236,10185,8585
Springdale,Arkansas,28942,13311,2158,4166,9307
Madera,California,18595,7043,2658,4300,4594
Menifee,California,35601,18524,2519,3920,10638
Merced,California,28358,10599,1640,8097,8022
Milpitas,California,23632,15294,1728,1435,5175
Mission Viejo,California,34168,22406,1463,1952,8347
Modesto,California,71775,32940,5492,13082,20261
Redding,California,37302,13663,1789,5030,16820
Redlands,California,24452,11253,1951,3020,8228
Redondo Beach,California,26986,14295,757,2704,9230
Westminster,California,27935,15346,2043,4509,6037
Hollywood,Florida,61598,27103,4150,5900,24445
Homestead,Florida,27094,10243,3427,5235,8189
"Horizon West CDP, Florida",,21444,16019,739,1809,2877
Wilmington,Delaware,32049,7998,1743,5399,16909
Broomfield,Colorado,30161,15289,1224,3280,10368
Chandler,Arizona,107668,56545,5248,11816,34059
Hartford,Connecticut,45491,10118,4437,12816,18120
Bloomington,Illinois,33803,13914,358,3169,16362
"Bolingbrook village, Illinois",,24600,13803,2158,3386,5253
Eastvale,California,18470,14045,614,2081,1730
Idaho Falls,Idaho,24257,11784,863,2476,9134
Westminster,Colorado,47797,21342,1973,5353,19129
Iowa City,Iowa,30270,11384,335,1992,16559
Moreno Valley,California,54104,28546,4998,11913,8647
Baltimore,Maryland,254370,60779,11168,50653,131770
Mountain View,California,34637,15204,1398,2134,15901
Redwood City,California,29450,16559,1212,2160,9519
Brooklyn Park,Minnesota,30074,13272,1585,4630,10587
Rialto,California,29043,15432,2583,5288,5740
Farmington Hills,Michigan,35224,18554,762,2548,13360
Worcester,Massachusetts,76065,28794,3921,12307,31043
Jacksonville,Florida,386283,153176,19096,60664,153347
Alameda,California,30281,14284,935,3352,11710
"Kendall CDP, Florida",,33184,15932,978,4679,11595
Kissimmee,Florida,25999,10911,1174,7318,6596
"Castro Valley CDP, California",,23103,13014,936,3025,6128
Tucson,Arizona,223068,78652,15018,32826,96572
"Urban Honolulu CDP, Hawaii",,138398,55941,6288,16336,59833
South Bend,Indiana,42707,15276,2624,6520,18287
Murrieta,California,34414,21247,2887,3725,6555
Napa,California,30418,15303,2590,2203,10322
Newport Beach,California,39131,18878,1156,2720,16377
"Bethesda CDP, Maryland",,27748,15280,899,1813,9756
Richmond,California,40019,17365,2207,9111,11336
Frederick,Maryland,33907,14042,1782,4470,13613
Henderson,Nevada,124470,63220,6397,15540,39313
Duluth,Minnesota,36310,12930,1180,3530,18670
Eagan,Minnesota,27069,14503,1489,2037,9040
Temecula,California,34958,22216,2301,4342,6099
Whittier,California,27773,14818,2065,4039,6851
Lakeland,Florida,45548,19136,2125,6847,17440
Largo,Florida,36493,12988,1013,4583,17909
Lauderhill,Florida,26555,8662,1653,7498,8742
"Lehigh Acres CDP, Florida",,40295,22330,2376,5694,9895
"Castle Rock town, Colorado",,27249,17893,994,1841,6521
Centennial,Colorado,39660,23348,2035,4370,9907
Bakersfield,California,128007,63261,10069,19695,34982
Baldwin Park,California,19112,9302,2516,4054,3240
Lakewood,Colorado,70751,28813,2993,6596,32349
Chico,California,40956,14214,2747,5159,18836
Johns Creek,Georgia,29256,20646,1031,1878,5701
Champaign,Illinois,37423,11605,575,5537,19706
Chicago,Illinois,1139537,364420,54991,160864,559262
Naperville,Illinois,54377,33710,2005,4518,14144
Yuma,Arizona,36530,17026,2393,7518,9593
Fremont,California,75716,50066,2542,6013,17095
Kansas City,Kansas,57819,23736,3830,9221,21032
Lawrence,Kansas,41041,13252,1386,3657,22746
Kenner,Louisiana,25267,11096,1671,3343,9157
Norwalk,California,26506,15970,2273,3454,4809
Boston,Massachusetts,271941,74624,10437,36475,150405
Oakland,California,170366,61924,9377,22761,76304
Quincy,Massachusetts,44051,16814,2748,3910,20579
Riverside,California,91110,44087,6614,15867,24542
Gaithersburg,Maryland,26764,12514,1265,2712,10273
Rocklin,California,25528,15256,1467,2131,6674
Flint,Michigan,32837,7696,2145,7560,15436
"Waldorf CDP, Maryland",,29701,13675,1569,5290,9167
Arvada,Colorado,50678,26852,2095,4080,17651
Alhambra,California,29022,13577,2397,4473,8575
Chino,California,26774,16353,1765,3624,5032
Chino Hills,California,25703,18233,1793,1949,3728
Mesa,Arizona,199112,91903,11509,23284,72416
Chula Vista,California,83451,46401,6379,13911,16760
Citrus Heights,California,34140,14925,1415,3911,13889
"Macon-Bibb County, Georgia",,57677,19457,2337,12278,23605
"Cicero town, Illinois",,24737,10754,2479,4794,6710
Escondido,California,50171,25959,3040,6071,15101
Fresno,California,181841,72467,15454,32156,61764
Fullerton,California,48423,24840,3707,4944,14932
Meridian,Idaho,47825,29406,1666,2284,14469
Portland,Maine,32523,10741,780,2778,18224
Lafayette,Louisiana,51150,18401,1783,7639,23327
Lake Charles,Louisiana,28683,12354,1082,4374,10873
Brockton,Massachusetts,37554,13197,3662,9582,11113
Cambridge,Massachusetts,52487,15526,540,2926,33495
Oceanside,California,59683,29686,3865,6354,19778
"Germantown CDP, Maryland",,30985,15814,1301,5382,8488
Jackson,Mississippi,62140,14723,3998,16591,26828
Las Vegas,Nevada,250350,103134,17410,32164,97642
Thousand Oaks,California,45081,25065,1554,4253,14209
Melbourne,Florida,36651,13954,1450,4484,16763
Miami,Florida,192219,60227,11493,26622,93877
Miami Beach,Florida,40788,12924,1329,2373,24162
Miami Gardens,Florida,34332,14665,2730,8159,8778
Miramar,Florida,42707,20253,3286,8349,10819
New Britain,Connecticut,28450,8372,1222,7274,11582
Colorado Springs,Colorado,197542,93510,11165,21639,71228
New Haven,Connecticut,56373,12539,3208,12070,28556
Bellflower,California,24327,10687,2772,4817,6051
Longmont,Colorado,43519,17733,2727,3679,19380
Clovis,California,38762,23207,2983,3648,8924
Loveland,Colorado,35803,17488,1451,2486,14378
Surprise,Arizona,55339,31774,3910,6489,13166
Decatur,Illinois,32087,11181,1180,4258,15468
El Cajon,California,34443,13592,2091,8492,10268
"Palatine village, Illinois",,26402,13394,520,4006,8482
Thornton,Colorado,48263,27013,2854,5176,13220
Garden Grove,California,48769,24192,4117,8556,11904
Rogers,Arkansas,25872,14733,1525,3413,6201
Glendale,California,70831,35661,4292,8186,22692
Nampa,Idaho,37666,20593,2080,3822,11171
Tuscaloosa,Alabama,39266,12913,2340,6699,17314
Hawthorne,California,30039,10541,2465,6421,10612
Hayward,California,48619,24986,3192,7162,13279
Ann Arbor,Michigan,51238,17042,957,3923,29316
Ontario,California,55819,27703,5768,10000,12348
Orange,California,43291,21165,3367,7155,11604
Roseville,California,57569,32573,2456,5440,17100
"Glen Burnie CDP, Maryland",,27700,12610,1764,3642,9684
Simi Valley,California,45308,24458,2184,4284,14382
Kalamazoo,Michigan,29853,6545,1478,3040,18790
Torrance,California,57584,30549,2592,4898,19545
Lakeville,Minnesota,23868,17171,1094,2097,3506
North Port,Florida,30622,17447,1410,3483,8282
Avondale,Arizona,26611,14222,1455,5517,5417
Berkeley,California,43893,14459,1596,2822,25016
"San Tan Valley CDP, Arizona",,31781,19172,2352,4139,6118
Pueblo,Colorado,47901,16294,3385,7768,20454
Peoria,Illinois,50176,17998,2141,7470,22567
Hemet,California,33486,13424,3258,5970,10834
Hesperia,California,29237,15925,2856,4324,6132
Olathe,Kansas,53285,33224,2258,4088,13715
Overland Park,Kansas,82593,42357,3403,5751,31082
Oxnard,California,50611,26470,4743,9210,10188
Fall River,Massachusetts,40521,14014,2846,8141,15520
Palmdale,California,46650,26479,4158,8043,7970
Sacramento,California,202093,79620,11912,24671,85890
Salinas,California,41871,19645,5950,8421,7855
Somerville,Massachusetts,35015,11337,1132,2274,20272
Tracy,California,28353,19459,1115,3052,4727
Orlando,Florida,130037,43190,7781,19289,59777
Palm Bay,Florida,45145,19108,3900,8728,13409
Palm Coast,Florida,36896,21399,1833,3932,9732
Aurora,Colorado,140003,61003,9039,18973,50988
Auburn,Alabama,29136,13886,1034,2484,11732
